"Име на продукт",Наличност,"Стара цена",Цена,Стойност
"Tактическа жилетка (Army Green)",3,58.75,58.75,176.25
"Tактическа жилетка (Coyote)",3,58.75,58.75,176.25
"Tактическа жилетка (Black)",2,58.75,58.75,117.5
"Tактическа жилетка (Multicam Black)",2,58.75,58.75,117.5
"Тактически ръкавици без пръсти  (Green)",2,10.17,10.17,20.34
"Тактически ръкавици без пръсти  (Тан)",2,10.17,10.17,20.34
"Тактически ръкавици без пръсти  (Black)",2,10.17,10.17,20.34
"Слушалка за радиостанция Baofeng Mini BF-T1",3,5.11,5.11,15.33
"Универсален предпазител/протектор",11,12.22,12.22,134.42
"Приставка за затвора на АК",3,8.64,8.64,25.92
"Двоен джоб за M4/M16/АR-15 (Green)",1,9.15,9.15,9.15
"Двоен джоб за M4/M16/АR-15 (Multicam)",2,9.15,9.15,18.3
"Двоен джоб за M4/M16/АR-15 (Coyote)",1,9.15,9.15,9.15
"Двоен джоб за M4/M16/АR-15 (Multicam Tropic)",2,9.15,9.15,18.3
"Монтажни адаптори за каска",1,8.13,8.13,8.13
"Пистолет R26/M1911 /Army Armament/",0,104.76,104.76,0
"Пълнител за 1911 Green gas (Army Armament)",0,25.51,25.51,0
"Монтаж за АК",5,17.33,17.33,86.65
"Релса &quot;Picatinny&quot; за G36C/G36K/G3 SAS",0,6.60,6.60,0
"Релса &quot;Picatinny&quot;  - 5 слота за Keyмod монтаж",0,6.08,6.08,0
"Релса &quot;Picatinny&quot;  - 9 слота за Keyмod монтаж",0,8.13,8.13,0
"Комплект релси &quot;Picatinny&quot; - MLock",2,19.89,19.89,39.78
"Комплект релси &quot;Picatinny&quot; - KeyMod",1,19.89,19.89,19.89
"Двоен джоб за АК47/АКМ (Multicam)",3,10.69,10.69,32.07
"Двоен джоб за АК47/АКМ (Coyote)",2,10.69,10.69,21.38
"Двоен джоб за АК47/АКМ (Black)",1,10.69,10.69,10.69
"Комплект Наколенки и Налакътници (Black)",2,17.84,17.84,35.68
"Едноточков ремък за жилетка (Green)",0,7.62,7.62,0
"Едноточков ремък за жилетка (Coyote)",0,7.62,7.62,0
"Едноточков ремък за жилетка (Black)",0,7.62,7.62,0
"Бързомер T4 1X22 (Vector Optics)",2,61.30,61.30,122.6
"Бързомер IPM 1X23X34 (Vector Optics)",3,43.41,43.41,130.23
"Бързомер HSW (PCS)",0,63.86,63.86,0
"Пълнител за AR15/416/M4 Mid-Cap 150 (Черeн)",1,11.20,11.20,11.2
"Метален пълнител за M4/M16 Low-Cap 70 (Black)",4,9.15,9.15,36.6
"Метален пълнител за M4/M16 Hi-Cap 320 (Black)",0,10.17,10.17,0
"Балистични очила HighIander H2X Clear",0,18.87,18.87,0
"Балистични очила HighIander H2X Gray",3,18.87,18.87,56.61
"Спийдлоудър 500 топчета /Черен/",0,10.17,10.17,0
"Метален пълнител за M4/M16 Mid-Cap 150 (Black)",8,11.71,11.71,93.68
"Вертикална сгъваема дръжка (Black)",1,10.17,10.17,10.17
"Пистолет R29/M1911 /Army Armament/",0,104.76,104.76,0
"Батерия Li-Po 11,1 V 1200MAH (IPower)",2,29.09,29.09,58.18
"Пълнител за 1911 Green gas (Army Armament)",0,25.51,25.51,0
"Релса &quot;Picatinny&quot; 5.5&quot;",3,10.17,10.17,30.51
"Двоен джоб за M4/M16/АR-15 (Black)",0,9.15,9.15,0
"Еърсофт очила с вентилатор (Dark Earth)",0,36.25,36.25,0
"Ергономична дръжка (Черна)",3,9.15,9.15,27.45
"Ергономична дръжка (Tan)",5,9.15,9.15,45.75
"Mlock Монтаж за двунога ",1,12.78,12.78,12.78
"Еърсофт очила с вентилатор (Black)",0,36.25,36.25,0
"PTT U94 бутон за Baofeng UV 9R",1,25.51,25.51,25.51
"Панел BUCKLE UP Combo 5+2 за АК (Green)",2,18.87,18.87,37.74
"Джоб за пълнител 5.56 (Black)",1,7.62,7.62,7.62
"Калъф за каска  Fast Ballistic (Multicam)",8,13.24,13.24,105.92
"Калъф за каска  Fast Ballistic (Green)",5,13.24,13.24,66.2
"Калъф за каска  Fast Ballistic (Tan)",7,13.24,13.24,92.68
"Пач &quot;MEDIC&quot;",5,2.55,2.55,12.75
"Радиостанция Baofeng 888S ",0,17.84,17.84,0
"Преходник T-Connector  към Small Tamiya",3,5.11,5.11,15.33
"Преходник Small Tamiya към T-Connector  ",2,5.11,5.11,10.22
"Балистични очила HighIander H2X Color",0,18.87,18.87,0
"Акустична слушалка за радиостанция Baofeng",10,7.66,7.66,76.6
"Тръбичка за акустична слушалка",3,2.55,2.55,7.65
"Радиостанция Baofeng UV-10R 16W","не се следи",43.41,43.41,"не се следи"
"Бързомер  1X35 (Vector Optics)",4,35.74,35.74,142.96
"Тактически обувки (Black)",0,18.36,71.53,0
"Наколенки (Green)",0,13.24,13.24,0
"Наколенки (Black)",3,13.24,13.24,39.72
"Green gas Smart Gas™ - 120 мл ",14,4.55,4.55,63.7
"Green gas Smart Gas™ - 520 мл ",0,9.66,9.66,0
"Green gas Smart Gas™ - 800 мл ",17,12.73,12.73,216.41
Фенер,0,11.24,11.24,0
"Адаптивен твърд кобур &quot;Black&quot; ",2,30.63,30.63,61.26
"Адаптивен твърд кобур &quot;Green&quot; ",0,30.63,30.63,0
"Адаптивен твърд кобур &quot;Tan&quot; ",0,30.63,30.63,0
"Еърсофт очила (Tan)",0,16.82,16.82,0
"Еърсофт очила (Green)",0,16.82,16.82,0
"Тактически очила Intrepid II Yellow",0,11.20,11.20,0
"Метален пълнител за AK74 Mid-Cap 125 (Черeн)",11,13.75,13.75,151.25
"USB кабел за бързо зареждане",0,5.06,5.06,0
"Пълнител за AK Mid-Cap 150 (Orange)",4,10.17,10.17,40.68
"Пълнител за AK74 Mid-Cap 150 (Черeн)",11,10.17,10.17,111.87
"Бързомер HSW 1 (PCS)",0,63.86,63.86,0
"Еърсофт очила V2 -Тонирани (Black)",0,7.11,7.11,0
"Еърсофт очила V2 -Тонирани (Tan)",0,7.11,7.11,0
"Еърсофт очила V2 -Тонирани (Green)",0,7.11,7.11,0
"Комплект &quot;Start &quot; на звукова граната THUNDER B SONIC ","не се следи",33.23,33.23,"не се следи"
"Светеща пръчка",0,1.53,1.53,0
"Батерия Li-Po 11,1V 1100MAH (IPower)",1,21.93,21.93,21.93
"Батерия Li-Po 7,4 V 1450MAH (IPower)",2,21.93,21.93,43.86
"Адаптивен твърд кобур /Ляв/ &quot;Black&quot; ",2,30.63,30.63,61.26
"Силиконова гривна","не се следи",0.03,0.03,"не се следи"
"Метален пълнител за SR25/AR10 Mid-Cap 130 (Black)",0,14.27,14.27,0
"Пълнител за SR25/AR10 Mid-Cap 100 (Black)",6,13.24,13.24,79.44
"Еърсофт очила за каска (Black)",0,24.03,24.03,0
"Пач  &quot;AK47&quot;",6,2.55,2.55,15.3
"Пълнител за M4 Mid-Cap 140 (Tan)",12,12.22,12.22,146.64
"Пълнител за M4 Mid-Cap 140 (Black)",8,12.22,12.22,97.76
"Пистолет R614 - John Wick 4 /Army Armament/",5,178.90,178.90,894.5
"Био Топчета Specna Arms CORE™ 0.25г BIO - 1 кг ",0,15.80,15.80,0
"Шапка Боне (Woodland Digital)",1,9.71,7.62,7.62
"Шапка Боне (Desert Digital)",0,9.71,7.62,0
"Камуфлажна лента (Multicam)",3,6.64,6.64,19.92
"Камуфлажна лента (Flecktarn)",0,6.64,6.64,0
"Камуфлажна лента (Woodland)",2,6.64,6.64,13.28
"Шапка Боне (Woodland)",3,9.71,9.71,29.13
"Шапка Боне (Multicam)",4,9.71,9.71,38.84
"Шапка Боне (Army Green)",0,9.71,9.71,0
"Раница 30 л. (Multicam) ",0,30.63,30.63,0
"Калъф за каска  MIHC2000 /ЕМ/ (Multicam)",4,12.22,12.22,48.88
"Тактическа раница 30 л. (Coyote) ",3,38.30,38.30,114.9
"Тактическа раница 30 л. (Black) ",0,38.30,38.30,0
"Комплект &quot;Start Devil&quot; на звукова граната THUNDER B SONIC ",1,34.76,34.76,34.76
Радиостанция,"не се следи",17.84,17.84,"не се следи"
"Пълнител за R601 JW3/R604 JW4 Green gas (Army Armament)",1,30.63,30.63,30.63
"Твърд кобур &quot;Hi-Capa&quot; ",2,20.40,20.40,40.8
"Батерия Li-Po 7,4 V 1450MAH (IPower)",1,21.93,21.93,21.93
"Тактически CHEST RIG BUCKLE UP ",0,20.45,20.45,0
"Панел BUCKLE UP Combo 5+2 (Coyote)",0,16.87,16.87,0
"Калъф за каска  Fast Ballistic",0,15.34,15.34,0
"Чантичка с капак за граната (Multicam)",2,8.69,8.69,17.38
"Еърсофт очила за каска (Dark Earth)",3,24.03,24.03,72.09
"Предпазна маска за лице ",0,9.15,9.15,0
"Компактен фенер /WADSN/",3,10.73,10.73,32.19
"Комплект 6 PVC релси &quot;Picatinny&quot; /Black/",3,17.84,17.84,53.52
"Комплект 6 PVC релси &quot;Picatinny&quot; /Dark Earth/",2,17.84,17.84,35.68
"Чантичка с капак за граната (Green)",4,8.69,8.69,34.76
"Чантичка с капак за граната (Multicam Tropic)",2,8.69,8.69,17.38
"Чантичка с капак за граната (Multicam Black)",3,8.69,8.69,26.07
"Чантичка с капак за граната (Coyote)",3,8.69,8.69,26.07
"Тактически турникет",1,10.22,10.22,10.22
"Магнитна антена за радиостанция Baofeng",0,7.62,7.62,0
"Релса &quot;Picatinny&quot; - 3 слота за Keyмod/Mlock",2,9.66,9.66,19.32
"Тактически очила ITEK Anti-fog Clear",3,10.17,10.17,30.51
"Тактически очила ITEK Anti-fog Gray",6,10.17,10.17,61.02
"Тактически фенер V300 - Black /WADSN/",2,43.97,43.97,87.94
"Чантичка за Еърсофт пистолет 28 см (Multicam)",1,12.73,12.73,12.73
"Капак за АК",1,21.98,21.98,21.98
"Спийдлоудър 500 топчета /Черен/",2,11.20,11.20,22.4
"Антена NA 771 ",5,5.06,5.06,25.3
AGM,"не се следи",204.47,204.47,"не се следи"
"Резервна част",2,7.62,7.62,15.24
"Тактически ръкавици Armored Claw (Black)",0,33.18,22.96,0
"Платформа за колан и бедро",0,23.98,23.98,0
Увеличител,0,69.02,69.02,0
"Заглушител за АК",0,35.79,35.79,0
"Антифони EARMOR M31 (Green)",1,86.87,76.64,76.64
"Антифони EARMOR M31 (Black)",1,86.87,76.64,76.64
"Антифони EARMOR M32 (Tan)",0,125.22,107.32,0
"Антифони EARMOR M31 (Tan)",0,86.87,76.64,0
"Антифони EARMOR M32 (Green)",0,125.22,107.32,0
"Антифони EARMOR M32 (Black)",2,125.22,107.32,214.64
"EARMOR - M51 PTT за KENWOOD/Baofeng  ",7,40.85,40.85,285.95
"CM.099 - VSS VINTOREZ/CYMA/",0,258.15,258.15,0
"PVC монтаж за фенер",2,9.66,9.66,19.32
"Тактически колан Combat (Multicam)",1,22.96,22.96,22.96
"Камуфлажна лента (UCP)",2,6.64,6.64,13.28
"Преходник Ztac/ Earmor",2,12.73,12.73,25.46
"PTT U94 Military бутон за Baofeng/Kenwood/ WADSN/",5,22.96,22.96,114.8
"Камуфлажна лента (Jungle)",2,5.11,5.11,10.22
"Камуфлажна лента (Digital Desert)",6,5.11,5.11,30.66
"Камуфлажна лента (Grassland)",7,5.11,5.11,35.77
"Топчета за Еърсофт 0.28г /BLS/ - 1 кг ",7,14.31,14.31,100.17
"CM.045C Gen-2/CYMA/","не се следи",281.21,281.21,"не се следи"
"Адаптери М11 ARC /Earmor/",8,23.00,23.00,184
"PTT U94 Military бутон за Baofeng/Kenwood/ WADSN/Tan/",2,22.96,22.96,45.92
"Адаптери за антифони /Black/",1,15.33,15.33,15.33
"Адаптери за антифони /Tan/",0,15.33,15.33,0
"Адаптери за антифони /Green/",0,15.33,15.33,0
"Платформа за бедро",4,40.85,40.85,163.4
"Лека мрежеста жилетка (Green)",1,35.74,35.74,35.74
"Лека мрежеста жилетка (Black)",1,35.74,35.74,35.74
"Лека мрежеста жилетка (Coyote)",1,35.74,35.74,35.74
"Релса &quot;Picatinny&quot; - 13 слота за MLock монтаж",3,12.73,12.73,38.19
"Тактически фенер V300 - Dark Earth /WADSN/",2,43.97,43.97,87.94
"Релса &quot;Picatinny&quot; - 7 слота за Keyмod/Mlock",1,13.24,13.24,13.24
"Пълнител за M4/AR15 Mid-Cap 150 ",6,11.71,11.71,70.26
"PTT U94 бутон за Baofeng/Kenwood/ WADSN/Tan/",1,22.96,22.96,22.96
"PTT U94 бутон с двоен жак Baofeng/Kenwood/ WADSN/",4,22.96,22.96,91.84
"EARMOR - M52 PTT с дистанционен бутон за KENWOOD/Baofeng  ",2,45.97,45.97,91.94
"Силиконова смазка Smart Oil™ 100 ML",0,7.11,7.11,0
Гранатомет,"не се следи",127.82,127.82,"не се следи"
"Граната за гранатомет","не се следи",38.35,38.35,"не се следи"
